indexOfdf,Id,ColumnName,Original,Modified,ErrorType,Fixing
19418,66755531,Company,nan,non-specified,null values,replacing all null values with non-specified
19419,67441908,Company,nan,non-specified,null values,replacing all null values with non-specified
19423,66746408,Company,nan,non-specified,null values,replacing all null values with non-specified
19424,67440997,Company,nan,non-specified,null values,replacing all null values with non-specified
19442,68237947,Company,nan,non-specified,null values,replacing all null values with non-specified
19445,68237526,Company,nan,non-specified,null values,replacing all null values with non-specified
19447,66743533,Company,nan,non-specified,null values,replacing all null values with non-specified
19468,68449768,Company,nan,non-specified,null values,replacing all null values with non-specified
19476,72565237,Company,nan,non-specified,null values,replacing all null values with non-specified
19481,69768790,Company,nan,non-specified,null values,replacing all null values with non-specified
19482,69146903,Company,nan,non-specified,null values,replacing all null values with non-specified
19485,69150328,Company,nan,non-specified,null values,replacing all null values with non-specified
19497,69146959,Company,nan,non-specified,null values,replacing all null values with non-specified
19499,66543037,Company,nan,non-specified,null values,replacing all null values with non-specified
19500,70590566,Company,nan,non-specified,null values,replacing all null values with non-specified
19503,69148235,Company,nan,non-specified,null values,replacing all null values with non-specified
19507,69768373,Company,nan,non-specified,null values,replacing all null values with non-specified
19509,66745836,Company,nan,non-specified,null values,replacing all null values with non-specified
19510,69759892,Company,nan,non-specified,null values,replacing all null values with non-specified
19514,71794811,Company,nan,non-specified,null values,replacing all null values with non-specified
19532,68406765,Company,nan,non-specified,null values,replacing all null values with non-specified
19533,66540854,Company,nan,non-specified,null values,replacing all null values with non-specified
19534,66743082,Company,nan,non-specified,null values,replacing all null values with non-specified
19539,66545799,Company,nan,non-specified,null values,replacing all null values with non-specified
19543,68413683,Company,nan,non-specified,null values,replacing all null values with non-specified
19545,66538563,Company,nan,non-specified,null values,replacing all null values with non-specified
19553,69142478,Company,nan,non-specified,null values,replacing all null values with non-specified
19556,69548603,Company,nan,non-specified,null values,replacing all null values with non-specified
19569,68238160,Company,nan,non-specified,null values,replacing all null values with non-specified
19571,70598974,Company,nan,non-specified,null values,replacing all null values with non-specified
19582,66742054,Company,nan,non-specified,null values,replacing all null values with non-specified
19584,70592887,Company,nan,non-specified,null values,replacing all null values with non-specified
19597,67442216,Company,nan,non-specified,null values,replacing all null values with non-specified
19600,66749067,Company,nan,non-specified,null values,replacing all null values with non-specified
19601,67446512,Company,nan,non-specified,null values,replacing all null values with non-specified
19606,66538377,Company,nan,non-specified,null values,replacing all null values with non-specified
19615,67442321,Company,nan,non-specified,null values,replacing all null values with non-specified
19623,69759890,Company,nan,non-specified,null values,replacing all null values with non-specified
19638,68448952,Company,nan,non-specified,null values,replacing all null values with non-specified
19645,69960879,Company,nan,non-specified,null values,replacing all null values with non-specified
19654,71343035,Company,nan,non-specified,null values,replacing all null values with non-specified
19655,71794401,Company,nan,non-specified,null values,replacing all null values with non-specified
19664,67447939,Company,nan,non-specified,null values,replacing all null values with non-specified
19665,69937154,Company,nan,non-specified,null values,replacing all null values with non-specified
19666,68450408,Company,nan,non-specified,null values,replacing all null values with non-specified
19669,72145939,Company,nan,non-specified,null values,replacing all null values with non-specified
19674,70599062,Company,nan,non-specified,null values,replacing all null values with non-specified
19678,71335540,Company,nan,non-specified,null values,replacing all null values with non-specified
19681,69959207,Company,nan,non-specified,null values,replacing all null values with non-specified
19683,67108107,Company,nan,non-specified,null values,replacing all null values with non-specified
19686,69765500,Company,nan,non-specified,null values,replacing all null values with non-specified
19691,70599095,Company,nan,non-specified,null values,replacing all null values with non-specified
19695,68447689,Company,nan,non-specified,null values,replacing all null values with non-specified
19699,67441813,Company,nan,non-specified,null values,replacing all null values with non-specified
19700,67097962,Company,nan,non-specified,null values,replacing all null values with non-specified
19704,67441733,Company,nan,non-specified,null values,replacing all null values with non-specified
19705,71764577,Company,nan,non-specified,null values,replacing all null values with non-specified
19707,69761712,Company,nan,non-specified,null values,replacing all null values with non-specified
19709,71569201,Company,nan,non-specified,null values,replacing all null values with non-specified
19710,71568039,Company,nan,non-specified,null values,replacing all null values with non-specified
19721,70205727,Company,nan,non-specified,null values,replacing all null values with non-specified
19728,70807735,Company,nan,non-specified,null values,replacing all null values with non-specified
19744,67106871,Company,nan,non-specified,null values,replacing all null values with non-specified
19745,66753601,Company,nan,non-specified,null values,replacing all null values with non-specified
19752,66742036,Company,nan,non-specified,null values,replacing all null values with non-specified
19754,67101449,Company,nan,non-specified,null values,replacing all null values with non-specified
19758,67103277,Company,nan,non-specified,null values,replacing all null values with non-specified
19760,71338150,Company,nan,non-specified,null values,replacing all null values with non-specified
19764,66549256,Company,nan,non-specified,null values,replacing all null values with non-specified
19766,67442108,Company,nan,non-specified,null values,replacing all null values with non-specified
19769,69548166,Company,nan,non-specified,null values,replacing all null values with non-specified
19785,69763002,Company,nan,non-specified,null values,replacing all null values with non-specified
19788,67443399,Company,nan,non-specified,null values,replacing all null values with non-specified
19789,71794973,Company,nan,non-specified,null values,replacing all null values with non-specified
19790,68448339,Company,nan,non-specified,null values,replacing all null values with non-specified
19791,70205323,Company,nan,non-specified,null values,replacing all null values with non-specified
19808,69554846,Company,nan,non-specified,null values,replacing all null values with non-specified
19814,68613197,Company,nan,non-specified,null values,replacing all null values with non-specified
19817,67246367,Company,nan,non-specified,null values,replacing all null values with non-specified
19821,70435096,Company,nan,non-specified,null values,replacing all null values with non-specified
19824,70774184,Company,nan,non-specified,null values,replacing all null values with non-specified
19825,69769373,Company,nan,non-specified,null values,replacing all null values with non-specified
19832,71561111,Company,nan,non-specified,null values,replacing all null values with non-specified
19839,71765111,Company,nan,non-specified,null values,replacing all null values with non-specified
19843,67443812,Company,nan,non-specified,null values,replacing all null values with non-specified
19849,71573195,Company,nan,non-specified,null values,replacing all null values with non-specified
19854,70815575,Company,nan,non-specified,null values,replacing all null values with non-specified
19858,67447356,Company,nan,non-specified,null values,replacing all null values with non-specified
19861,71764176,Company,nan,non-specified,null values,replacing all null values with non-specified
19866,66742790,Company,nan,non-specified,null values,replacing all null values with non-specified
19869,68407364,Company,nan,non-specified,null values,replacing all null values with non-specified
19872,70204990,Company,nan,non-specified,null values,replacing all null values with non-specified
19879,69764603,Company,nan,non-specified,null values,replacing all null values with non-specified
19880,69554183,Company,nan,non-specified,null values,replacing all null values with non-specified
19882,67443400,Company,nan,non-specified,null values,replacing all null values with non-specified
19888,67107424,Company,nan,non-specified,null values,replacing all null values with non-specified
19890,66536264,Company,nan,non-specified,null values,replacing all null values with non-specified
19893,67447347,Company,nan,non-specified,null values,replacing all null values with non-specified
19901,66536376,Company,nan,non-specified,null values,replacing all null values with non-specified
19912,69554147,Company,nan,non-specified,null values,replacing all null values with non-specified
19913,70599038,Company,nan,non-specified,null values,replacing all null values with non-specified
19916,68449514,Company,nan,non-specified,null values,replacing all null values with non-specified
19930,69956936,Company,nan,non-specified,null values,replacing all null values with non-specified
19936,69759443,Company,nan,non-specified,null values,replacing all null values with non-specified
19942,69554124,Company,nan,non-specified,null values,replacing all null values with non-specified
19943,68408186,Company,nan,non-specified,null values,replacing all null values with non-specified
19945,67774988,Company,nan,non-specified,null values,replacing all null values with non-specified
19955,71341530,Company,nan,non-specified,null values,replacing all null values with non-specified
19956,67103267,Company,nan,non-specified,null values,replacing all null values with non-specified
19957,69554163,Company,nan,non-specified,null values,replacing all null values with non-specified
19966,72135829,Company,nan,non-specified,null values,replacing all null values with non-specified
19968,69142472,Company,nan,non-specified,null values,replacing all null values with non-specified
19975,67441592,Company,nan,non-specified,null values,replacing all null values with non-specified
19984,72600049,Company,nan,non-specified,null values,replacing all null values with non-specified
20003,66538382,Company,nan,non-specified,null values,replacing all null values with non-specified
20008,71591390,Company,nan,non-specified,null values,replacing all null values with non-specified
20011,67775719,Company,nan,non-specified,null values,replacing all null values with non-specified
20012,66744296,Company,nan,non-specified,null values,replacing all null values with non-specified
20013,68446742,Company,nan,non-specified,null values,replacing all null values with non-specified
20021,68237598,Company,nan,non-specified,null values,replacing all null values with non-specified
20026,66538390,Company,nan,non-specified,null values,replacing all null values with non-specified
20030,71082811,Company,nan,non-specified,null values,replacing all null values with non-specified
20037,67442336,Company,nan,non-specified,null values,replacing all null values with non-specified
20040,69145960,Company,nan,non-specified,null values,replacing all null values with non-specified
20041,69551139,Company,nan,non-specified,null values,replacing all null values with non-specified
20046,69147476,Company,nan,non-specified,null values,replacing all null values with non-specified
20048,67237107,Company,nan,non-specified,null values,replacing all null values with non-specified
20051,70418526,Company,nan,non-specified,null values,replacing all null values with non-specified
20055,68449510,Company,nan,non-specified,null values,replacing all null values with non-specified
20060,71601444,Company,nan,non-specified,null values,replacing all null values with non-specified
20069,67774875,Company,nan,non-specified,null values,replacing all null values with non-specified
20073,70188889,Company,nan,non-specified,null values,replacing all null values with non-specified
20092,69760779,Company,nan,non-specified,null values,replacing all null values with non-specified
20099,68408195,Company,nan,non-specified,null values,replacing all null values with non-specified
20107,70598859,Company,nan,non-specified,null values,replacing all null values with non-specified
20109,69143353,Company,nan,non-specified,null values,replacing all null values with non-specified
20111,66543065,Company,nan,non-specified,null values,replacing all null values with non-specified
20123,67246368,Company,nan,non-specified,null values,replacing all null values with non-specified
20126,70598821,Company,nan,non-specified,null values,replacing all null values with non-specified
20127,69937033,Company,nan,non-specified,null values,replacing all null values with non-specified
20129,66753976,Company,nan,non-specified,null values,replacing all null values with non-specified
20132,72354155,Company,nan,non-specified,null values,replacing all null values with non-specified
20135,69149872,Company,nan,non-specified,null values,replacing all null values with non-specified
20140,69937449,Company,nan,non-specified,null values,replacing all null values with non-specified
20143,67441607,Company,nan,non-specified,null values,replacing all null values with non-specified
20148,70599320,Company,nan,non-specified,null values,replacing all null values with non-specified
20149,72557541,Company,nan,non-specified,null values,replacing all null values with non-specified
20156,68238215,Company,nan,non-specified,null values,replacing all null values with non-specified
20157,66743833,Company,nan,non-specified,null values,replacing all null values with non-specified
20158,69145423,Company,nan,non-specified,null values,replacing all null values with non-specified
20169,69149681,Company,nan,non-specified,null values,replacing all null values with non-specified
20170,66544070,Company,nan,non-specified,null values,replacing all null values with non-specified
20177,68238086,Company,nan,non-specified,null values,replacing all null values with non-specified
20180,71081328,Company,nan,non-specified,null values,replacing all null values with non-specified
20183,72136153,Company,nan,non-specified,null values,replacing all null values with non-specified
20185,68407811,Company,nan,non-specified,null values,replacing all null values with non-specified
20186,68449530,Company,nan,non-specified,null values,replacing all null values with non-specified
20188,66540681,Company,nan,non-specified,null values,replacing all null values with non-specified
20192,70189529,Company,nan,non-specified,null values,replacing all null values with non-specified
20200,66543009,Company,nan,non-specified,null values,replacing all null values with non-specified
20205,68237603,Company,nan,non-specified,null values,replacing all null values with non-specified
20218,69149856,Company,nan,non-specified,null values,replacing all null values with non-specified
20223,69944463,Company,nan,non-specified,null values,replacing all null values with non-specified
20229,69552535,Company,nan,non-specified,null values,replacing all null values with non-specified
20247,71314341,Company,nan,non-specified,null values,replacing all null values with non-specified
20249,66745445,Company,nan,non-specified,null values,replacing all null values with non-specified
20254,68239246,Company,nan,non-specified,null values,replacing all null values with non-specified
20263,66549587,Company,nan,non-specified,null values,replacing all null values with non-specified
20265,68447496,Company,nan,non-specified,null values,replacing all null values with non-specified
20268,68238159,Company,nan,non-specified,null values,replacing all null values with non-specified
20272,68449027,Company,nan,non-specified,null values,replacing all null values with non-specified
20277,71334697,Company,nan,non-specified,null values,replacing all null values with non-specified
20278,70205380,Company,nan,non-specified,null values,replacing all null values with non-specified
20280,66536326,Company,nan,non-specified,null values,replacing all null values with non-specified
20282,71338702,Company,nan,non-specified,null values,replacing all null values with non-specified
20288,69142479,Company,nan,non-specified,null values,replacing all null values with non-specified
20292,69554506,Company,nan,non-specified,null values,replacing all null values with non-specified
20304,67108445,Company,nan,non-specified,null values,replacing all null values with non-specified
20327,69551438,Company,nan,non-specified,null values,replacing all null values with non-specified
20328,66745215,Company,nan,non-specified,null values,replacing all null values with non-specified
20332,72151522,Company,nan,non-specified,null values,replacing all null values with non-specified
20337,67441891,Company,nan,non-specified,null values,replacing all null values with non-specified
20342,68239800,Company,nan,non-specified,null values,replacing all null values with non-specified
20344,68446741,Company,nan,non-specified,null values,replacing all null values with non-specified
20345,66743277,Company,nan,non-specified,null values,replacing all null values with non-specified
20347,72564538,Company,nan,non-specified,null values,replacing all null values with non-specified
20359,69751073,Company,nan,non-specified,null values,replacing all null values with non-specified
20361,71301928,Company,nan,non-specified,null values,replacing all null values with non-specified
20362,72378693,Company,nan,non-specified,null values,replacing all null values with non-specified
20369,68407375,Company,nan,non-specified,null values,replacing all null values with non-specified
20378,71794966,Company,nan,non-specified,null values,replacing all null values with non-specified
20380,70599091,Company,nan,non-specified,null values,replacing all null values with non-specified
20381,66536371,Company,nan,non-specified,null values,replacing all null values with non-specified
20386,66537680,Company,nan,non-specified,null values,replacing all null values with non-specified
20388,71309112,Company,nan,non-specified,null values,replacing all null values with non-specified
20393,66755178,Company,nan,non-specified,null values,replacing all null values with non-specified
20402,71764394,Company,nan,non-specified,null values,replacing all null values with non-specified
20407,70435068,Company,nan,non-specified,null values,replacing all null values with non-specified
20408,69955856,Company,nan,non-specified,null values,replacing all null values with non-specified
20414,69768207,Company,nan,non-specified,null values,replacing all null values with non-specified
20419,71338267,Company,nan,non-specified,null values,replacing all null values with non-specified
20422,69553983,Company,nan,non-specified,null values,replacing all null values with non-specified
20429,68445934,Company,nan,non-specified,null values,replacing all null values with non-specified
20433,66543010,Company,nan,non-specified,null values,replacing all null values with non-specified
20439,70433676,Company,nan,non-specified,null values,replacing all null values with non-specified
20440,71561135,Company,nan,non-specified,null values,replacing all null values with non-specified
20447,69766463,Company,nan,non-specified,null values,replacing all null values with non-specified
20452,68407533,Company,nan,non-specified,null values,replacing all null values with non-specified
20462,67255521,Company,nan,non-specified,null values,replacing all null values with non-specified
20468,67108518,Company,nan,non-specified,null values,replacing all null values with non-specified
20469,67108311,Company,nan,non-specified,null values,replacing all null values with non-specified
20487,69149818,Company,nan,non-specified,null values,replacing all null values with non-specified
20499,69146458,Company,nan,non-specified,null values,replacing all null values with non-specified
20505,70599041,Company,nan,non-specified,null values,replacing all null values with non-specified
20515,71794556,Company,nan,non-specified,null values,replacing all null values with non-specified
20516,67108448,Company,nan,non-specified,null values,replacing all null values with non-specified
20517,71561231,Company,nan,non-specified,null values,replacing all null values with non-specified
20527,72557585,Company,nan,non-specified,null values,replacing all null values with non-specified
20533,70774047,Company,nan,non-specified,null values,replacing all null values with non-specified
20538,64767909,Company,nan,non-specified,null values,replacing all null values with non-specified
20539,69751046,Company,nan,non-specified,null values,replacing all null values with non-specified
20540,66747196,Company,nan,non-specified,null values,replacing all null values with non-specified
20547,69143330,Company,nan,non-specified,null values,replacing all null values with non-specified
20548,70188324,Company,nan,non-specified,null values,replacing all null values with non-specified
20552,68238283,Company,nan,non-specified,null values,replacing all null values with non-specified
20554,68237614,Company,nan,non-specified,null values,replacing all null values with non-specified
20562,68237938,Company,nan,non-specified,null values,replacing all null values with non-specified
20564,66747188,Company,nan,non-specified,null values,replacing all null values with non-specified
20570,71560947,Company,nan,non-specified,null values,replacing all null values with non-specified
20574,66744056,Company,nan,non-specified,null values,replacing all null values with non-specified
20576,70434103,Company,nan,non-specified,null values,replacing all null values with non-specified
20577,70599395,Company,nan,non-specified,null values,replacing all null values with non-specified
20585,70187824,Company,nan,non-specified,null values,replacing all null values with non-specified
20590,69751201,Company,nan,non-specified,null values,replacing all null values with non-specified
20591,70435077,Company,nan,non-specified,null values,replacing all null values with non-specified
20596,69955742,Company,nan,non-specified,null values,replacing all null values with non-specified
20606,66538313,Company,nan,non-specified,null values,replacing all null values with non-specified
20608,71561220,Company,nan,non-specified,null values,replacing all null values with non-specified
20612,66746562,Company,nan,non-specified,null values,replacing all null values with non-specified
20617,66069183,Company,nan,non-specified,null values,replacing all null values with non-specified
20649,71342569,Company,nan,non-specified,null values,replacing all null values with non-specified
20656,68407786,Company,nan,non-specified,null values,replacing all null values with non-specified
20666,67246366,Company,nan,non-specified,null values,replacing all null values with non-specified
20677,69552570,Company,nan,non-specified,null values,replacing all null values with non-specified
20678,69553073,Company,nan,non-specified,null values,replacing all null values with non-specified
20679,71079232,Company,nan,non-specified,null values,replacing all null values with non-specified
20682,68408587,Company,nan,non-specified,null values,replacing all null values with non-specified
20683,69954932,Company,nan,non-specified,null values,replacing all null values with non-specified
20685,71314339,Company,nan,non-specified,null values,replacing all null values with non-specified
20688,71794831,Company,nan,non-specified,null values,replacing all null values with non-specified
20693,67442218,Company,nan,non-specified,null values,replacing all null values with non-specified
20695,71794569,Company,nan,non-specified,null values,replacing all null values with non-specified
20697,71341647,Company,nan,non-specified,null values,replacing all null values with non-specified
20698,71082672,Company,nan,non-specified,null values,replacing all null values with non-specified
20715,66542429,Company,nan,non-specified,null values,replacing all null values with non-specified
20719,70191262,Company,nan,non-specified,null values,replacing all null values with non-specified
20721,70189536,Company,nan,non-specified,null values,replacing all null values with non-specified
20722,68238093,Company,nan,non-specified,null values,replacing all null values with non-specified
20737,71794841,Company,nan,non-specified,null values,replacing all null values with non-specified
20743,69768317,Company,nan,non-specified,null values,replacing all null values with non-specified
20744,66744061,Company,nan,non-specified,null values,replacing all null values with non-specified
20746,70599338,Company,nan,non-specified,null values,replacing all null values with non-specified
20753,66545884,Company,nan,non-specified,null values,replacing all null values with non-specified
20761,70171170,Company,nan,non-specified,null values,replacing all null values with non-specified
20763,67447834,Company,nan,non-specified,null values,replacing all null values with non-specified
20768,69554830,Company,nan,non-specified,null values,replacing all null values with non-specified
20785,69761260,Company,nan,non-specified,null values,replacing all null values with non-specified
20791,67448122,Company,nan,non-specified,null values,replacing all null values with non-specified
20794,66538071,Company,nan,non-specified,null values,replacing all null values with non-specified
20798,71310283,Company,nan,non-specified,null values,replacing all null values with non-specified
20804,69146209,Company,nan,non-specified,null values,replacing all null values with non-specified
20811,69954274,Company,nan,non-specified,null values,replacing all null values with non-specified
20812,68238096,Company,nan,non-specified,null values,replacing all null values with non-specified
20819,66744676,Company,nan,non-specified,null values,replacing all null values with non-specified
20821,69960937,Company,nan,non-specified,null values,replacing all null values with non-specified
20824,66538398,Company,nan,non-specified,null values,replacing all null values with non-specified
20826,71592280,Company,nan,non-specified,null values,replacing all null values with non-specified
20827,72602305,Company,nan,non-specified,null values,replacing all null values with non-specified
20835,66327426,Company,nan,non-specified,null values,replacing all null values with non-specified
20838,69554865,Company,nan,non-specified,null values,replacing all null values with non-specified
20842,68449225,Company,nan,non-specified,null values,replacing all null values with non-specified
20845,71561296,Company,nan,non-specified,null values,replacing all null values with non-specified
20849,71332882,Company,nan,non-specified,null values,replacing all null values with non-specified
20853,67237521,Company,nan,non-specified,null values,replacing all null values with non-specified
20857,67442512,Company,nan,non-specified,null values,replacing all null values with non-specified
20858,66543867,Company,nan,non-specified,null values,replacing all null values with non-specified
20859,70205526,Company,nan,non-specified,null values,replacing all null values with non-specified
20863,71793372,Company,nan,non-specified,null values,replacing all null values with non-specified
20868,66053102,Company,nan,non-specified,null values,replacing all null values with non-specified
20871,71569065,Company,nan,non-specified,null values,replacing all null values with non-specified
20882,69950321,Company,nan,non-specified,null values,replacing all null values with non-specified
20900,69954239,Company,nan,non-specified,null values,replacing all null values with non-specified
20904,66536571,Company,nan,non-specified,null values,replacing all null values with non-specified
20906,70598837,Company,nan,non-specified,null values,replacing all null values with non-specified
20908,68451247,Company,nan,non-specified,null values,replacing all null values with non-specified
20909,69551848,Company,nan,non-specified,null values,replacing all null values with non-specified
20911,68238934,Company,nan,non-specified,null values,replacing all null values with non-specified
20912,69146919,Company,nan,non-specified,null values,replacing all null values with non-specified
20915,70433901,Company,nan,non-specified,null values,replacing all null values with non-specified
20918,68450553,Company,nan,non-specified,null values,replacing all null values with non-specified
20919,69954819,Company,nan,non-specified,null values,replacing all null values with non-specified
20922,68237567,Company,nan,non-specified,null values,replacing all null values with non-specified
20923,70204895,Company,nan,non-specified,null values,replacing all null values with non-specified
20933,66538389,Company,nan,non-specified,null values,replacing all null values with non-specified
20941,69143357,Company,nan,non-specified,null values,replacing all null values with non-specified
20943,68413629,Company,nan,non-specified,null values,replacing all null values with non-specified
20946,69147806,Company,nan,non-specified,null values,replacing all null values with non-specified
20951,69551234,Company,nan,non-specified,null values,replacing all null values with non-specified
20965,64767910,Company,nan,non-specified,null values,replacing all null values with non-specified
20981,66748090,Company,nan,non-specified,null values,replacing all null values with non-specified
20988,70583519,Company,nan,non-specified,null values,replacing all null values with non-specified
20994,66538397,Company,nan,non-specified,null values,replacing all null values with non-specified
21010,71316652,Company,nan,non-specified,null values,replacing all null values with non-specified
21013,68448419,Company,nan,non-specified,null values,replacing all null values with non-specified
21025,72557407,Company,nan,non-specified,null values,replacing all null values with non-specified
21037,71601759,Company,nan,non-specified,null values,replacing all null values with non-specified
21041,65797370,Company,nan,non-specified,null values,replacing all null values with non-specified
21045,67106369,Company,nan,non-specified,null values,replacing all null values with non-specified
21046,67441807,Company,nan,non-specified,null values,replacing all null values with non-specified
23918,66426287,Company,nan,non-specified,null values,replacing all null values with non-specified
23919,46636107,Company,nan,non-specified,null values,replacing all null values with non-specified
23920,46629351,Company,nan,non-specified,null values,replacing all null values with non-specified
23921,46627503,Company,nan,non-specified,null values,replacing all null values with non-specified
23922,46633272,Company,nan,non-specified,null values,replacing all null values with non-specified
23923,58936693,Company,nan,non-specified,null values,replacing all null values with non-specified
23924,46632903,Company,nan,non-specified,null values,replacing all null values with non-specified
23925,49689005,Company,nan,non-specified,null values,replacing all null values with non-specified
23926,67959725,Company,nan,non-specified,null values,replacing all null values with non-specified
23927,66426274,Company,nan,non-specified,null values,replacing all null values with non-specified
23928,66951847,Company,nan,non-specified,null values,replacing all null values with non-specified
23929,46628249,Company,nan,non-specified,null values,replacing all null values with non-specified
23930,47920429,Company,nan,non-specified,null values,replacing all null values with non-specified
23931,46632299,Company,nan,non-specified,null values,replacing all null values with non-specified
23932,58728125,Company,nan,non-specified,null values,replacing all null values with non-specified
23933,47679894,Company,nan,non-specified,null values,replacing all null values with non-specified
23934,66951810,Company,nan,non-specified,null values,replacing all null values with non-specified
23935,68186595,Company,nan,non-specified,null values,replacing all null values with non-specified
23936,46634839,Company,nan,non-specified,null values,replacing all null values with non-specified
23937,50255548,Company,nan,non-specified,null values,replacing all null values with non-specified
23938,55400234,Company,nan,non-specified,null values,replacing all null values with non-specified
23939,52784860,Company,nan,non-specified,null values,replacing all null values with non-specified
23940,57111662,Company,nan,non-specified,null values,replacing all null values with non-specified
23941,69856560,Company,nan,non-specified,null values,replacing all null values with non-specified
23942,46627236,Company,nan,non-specified,null values,replacing all null values with non-specified
23943,46631507,Company,nan,non-specified,null values,replacing all null values with non-specified
23944,46634051,Company,nan,non-specified,null values,replacing all null values with non-specified
23945,61281963,Company,nan,non-specified,null values,replacing all null values with non-specified
23946,46627661,Company,nan,non-specified,null values,replacing all null values with non-specified
23947,51285929,Company,nan,non-specified,null values,replacing all null values with non-specified
23948,46632833,Company,nan,non-specified,null values,replacing all null values with non-specified
23949,51593450,Company,nan,non-specified,null values,replacing all null values with non-specified
23950,51285910,Company,nan,non-specified,null values,replacing all null values with non-specified
23951,66426144,Company,nan,non-specified,null values,replacing all null values with non-specified
23952,46630111,Company,nan,non-specified,null values,replacing all null values with non-specified
23953,68363892,Company,nan,non-specified,null values,replacing all null values with non-specified
23954,46852033,Company,nan,non-specified,null values,replacing all null values with non-specified
23955,46634073,Company,nan,non-specified,null values,replacing all null values with non-specified
23956,46633611,Company,nan,non-specified,null values,replacing all null values with non-specified
23957,68813832,Company,nan,non-specified,null values,replacing all null values with non-specified
23958,53863788,Company,nan,non-specified,null values,replacing all null values with non-specified
23959,56883069,Company,nan,non-specified,null values,replacing all null values with non-specified
23960,46636310,Company,nan,non-specified,null values,replacing all null values with non-specified
23961,46628412,Company,nan,non-specified,null values,replacing all null values with non-specified
23962,66601462,Company,nan,non-specified,null values,replacing all null values with non-specified
23963,54486625,Company,nan,non-specified,null values,replacing all null values with non-specified
