Engine size in CC,Number of female owners,Type of fuel,Number of male owners,Manufacturer,Model,Price,Power (BHP) of the car,Total number of owners,Car Transmission,Gender unclassified
2261.193548,54005,petrol,59395,Toyota,RAV4,43.54851613,137.7741935,121566,1.35483871,8166
1963.6666670000002,27948,petrol,84741,Saab,9-3X,49.28583333,145.0,119305,6.0,6616
998.0,73891,petrol,32821,Peugeot,107,11.14333333,50.0,112629,5.0,5917
998.0,66147,petrol,33395,Toyota,Aygo,15.20916667,53.0,107356,5.0,7814
998.0,63346,petrol,39242,Hyundai,I10,16.011,51.77777778,106796,5.0,4208
2790.454545,15146,diesel,85861,Audi,A6,82.06090909,199.7272727,106514,7.727272727000001,5507
998.0,64725,petrol,36803,Kia,Picanto,16.59192308,52.84615385,105385,5.0,3857
998.0,32110,petrol,16811,Toyota,Aygo,15.209167,53.0,52912,5.0,3991
1348.285714,41756,diesel,54195,Nissan,Note,19.31857143,66.42857143,101859,5.0,5908
1615.3707869999998,30221,petrol,65505,Seat,Leon,32.93965169,114.8202247,99504,6.348314607000001,3778
1998.0,13946,petrol,79176,Jaguar,XE,65.56875,167.25,97090,8.0,3968
1470.909091,41027,petrol,51517,Ford,Fusion,19.37890909,61.27272727,96939,4.8636363639999995,4395
2151.647059,15889,petrol,74157,Honda,Accord,39.39984314,117.70588240000001,95320,5.784313725,5274
1718.5714289999999,39519,petrol,47900,Mazda,MX-5,37.46857143,103.42857140000001,93405,5.857142857,5986
2095.1851850000003,17216,petrol,71632,Mazda,6,42.66935185,118.18518519999999,93384,5.907407407000001,4536
1028.923077,57228,petrol,30691,Citroen,C1,13.48615385,52.38461538,92422,5.0,4503
1180.5454550000002,49829,petrol,34918,Suzuki,Swift,19.08518182,68.90909091,90817,3.727272727,6070
1855.0,24893,diesel,60515,Ford,Galaxy,53.78571429,124.8571429,90559,6.0,5151
1482.5,36010,petrol,50045,Peugeot,308,32.33086957,103.1086957,90079,5.891304347999999,4024
1905.6315789999999,32724,petrol,52309,Mazda,3,30.99513158,101.8947368,89680,5.789473684,4647
2011.5555559999998,37950,petrol,45707,Audi,TT,64.59222222,178.5555556,89371,6.777777778,5714
1920.026316,16346,diesel,66613,Renault,Laguna,34.02059211,99.0,86809,5.552631579,3850
1496.0,51314,petrol,29852,Mazda,2,21.6,64.625,86198,6.0,5032
1095.777778,42772,petrol,34789,Fiat,Panda,10.42388889,52.44444444,82232,5.0,4671
1515.282051,30032,petrol,47251,Toyota,Auris,26.97346154,85.69230769,82030,3.076923077,4747
1698.64,26596,petrol,50801,Peugeot,306,18.64264,67.0,81294,4.84,3897
1366.294118,35920,petrol,41148,Peugeot,106,12.35588235,53.88235294,80790,4.647058824,3722
1366.294118,120608,petrol,41148,Peugeot,106,12.355882,53.882353,170888,4.647058824,9132
1971.163636,14323,diesel,59903,Volvo,V70,50.96109091,135.2909091,78657,6.181818182000001,4431
1367.272727,33281,petrol,38039,Citroen,Saxo,12.32981818,53.81818182,74674,4.818181818,3354
1528.807692,24181,diesel,41330,Volkswagen,Touran,32.98557692,94.03846154,70042,6.230769231,4531
1475.0,48750,petrol,16475,Volkswagen,Beetle,33.25025,112.75,70001,6.166666667,4776
998.0,28881,petrol,36610,Kia,Rio,22.95871429,80.0,67730,6.285714286,2239
1448.6,22899,petrol,39067,Ford,C-MAX,32.1815,99.0,64302,6.0,2336
2994.666667,14588,diesel,45819,BMW,X5,113.26933329999999,246.33333330000002,63675,8.0,3268
999.0,32045,petrol,24663,Nissan,Juke,28.23090909,86.0,62415,6.454545455,5707
1310.0,23094,petrol,34682,Suzuki,Vitara,26.803,85.71428571,61335,5.428571429,3559
1460.7954550000002,20296,petrol,37398,Kia,Ceed,26.97522727,88.09090909,59685,5.8636363639999995,1991
2043.820513,9985,petrol,46504,Peugeot,406,28.60820513,92.82051282,59182,4.756410256000001,2693
1424.857143,31656,petrol,24389,Hyundai,Getz,13.63642857,69.0,58992,4.714285714,2947
1774.8125,14753,diesel,41540,Nissan,X-Trail,47.361875,113.375,58825,3.75,2532
3041.0,16438,petrol,38415,Mercedes,CLK,72.79589474,166.3157895,58391,6.210526316,3538
2106.5,13625,petrol,41358,Volvo,S40,35.28132353,113.3529412,58177,5.176470588,3194
1928.714286,8060,petrol,46997,Rover,75,39.35238095,98.04761905,57445,5.0,2388
1452.0,16005,diesel,37450,Citroen,Berlingo,27.4386,85.28,56357,6.34,2902
996.0,30777,petrol,21062,Suzuki,Alto,9.5628,50.0,56169,4.6,4330
1933.021739,11421,petrol,41096,Nissan,Primera,26.51269565,93.58695652,55803,4.02173913,3286
1052.272727,26745,petrol,26734,Hyundai,I20,21.846999999999998,70.72727273,55498,6.090909091,2019
2748.333333,25424,petrol,24741,Mercedes,SLK,61.86283333,184.16666669999998,53959,6.833333333,3794
1886.5555559999998,17823,diesel,31973,Ford,S-MAX,47.52333333,128.88888889999998,52170,6.0,2374
2876.0,13819,diesel,35260,Mercedes,ML,77.41666667,188.33333330000002,52160,7.0,3081
1634.2,17864,diesel,32328,Kia,Sportage,43.97,115.3,51834,6.6,1642
2178.1923079999997,8990,diesel,40589,Peugeot,407,38.72769231,114.6538462,51825,5.538461538,2246
1382.75,27977,petrol,21142,Citroen,C2,15.14,64.0,51614,5.0,2495
1387.6216220000001,18187,petrol,31244,Hyundai,I30,28.60918919,100.5945946,51490,5.945945946,2059
1997.0,4860,diesel,43857,Jaguar,XF,78.74625,176.25,50657,8.0,1940
1377.566265,29771,petrol,17678,Audi,A1,27.08277108,86.63855422,49791,6.2289156629999995,2342
1374.046512,25109,petrol,20915,Mitsubishi,Colt,17.03876744,73.48837209,48805,5.302325581,2781
1981.818182,9131,petrol,35411,Audi,A5,59.43242424,150.4545455,46703,7.0,2161
2934.631579,5033,petrol,36990,Jaguar,S-Type,66.58842105,172.3157895,43876,5.736842105,1853
2106.5,11687,petrol,29574,Volvo,V50,36.52419118,113.3529412,43742,5.176470588,2481
1650.2051279999998,10678,petrol,31223,Ford,Escort,16.20874359,63.56410256,43527,4.461538462,1626
1969.0,12860,petrol,26579,Volvo,XC90,85.82946154,213.15384619999998,42273,8.0,2834
1805.924528,6565,diesel,33777,Citroen,C5,34.9090566,104.2264151,42173,5.603773585,1831
1921.46789,10836,petrol,28059,Volvo,V40,35.81481651,117.43119270000001,41308,6.293577982,2413
2396.4,13661,petrol,24013,BMW,X3,76.5922,184.0,40319,8.0,2645
1663.9285710000001,14542,petrol,23104,Volkswagen,Tiguan,44.30857143,108.0,39396,6.714285714,1750
1545.4285710000001,15501,diesel,19092,Mercedes,B,41.38957143,105.7142857,36741,7.285714286,2148
592.5625,16848,automatic,17738,Smart,Fortwo,19.9680625,55.375,36699,2.8125,2113
1891.5882350000002,7942,petrol,26706,Volkswagen,Bora,25.39952941,78.85294118,36406,4.647058824,1758
1853.9,8533,petrol,25441,Rover,45,23.322,84.2,35521,3.75,1547
3005.4,3418,petrol,29960,Porsche,911,158.7922667,293.53333330000004,34977,7.466666667,1599
2813.0,2641,petrol,30739,Jaguar,XJ,137.5695455,223.5454545,34876,8.0,1496
1757.6,5965,petrol,27537,Subaru,Impreza,30.5976,97.6,34850,1.8,1348
2031.469388,5562,petrol,26909,Saab,09-May,52.95719388,146.122449,34327,5.653061224,1856
1861.8333329999998,8349,petrol,23509,Toyota,Celica,31.5255,109.66666670000001,33552,5.166666667,1694
1854.2,7747,diesel,23214,Volkswagen,Sharan,45.6995,114.0,33512,6.0,2551
2242.636364,9212,diesel,22644,Hyundai,Santa,44.14181818,144.63636359999998,33372,6.545454545,1516
1241.857143,17430,petrol,13875,Peugeot,208,22.84857143,73.23809524,32520,6.523809524,1215
1969.0,4913,petrol,25331,Volvo,S60,52.085,223.83333330000002,31933,8.0,1689
1410.357143,17367,petrol,13057,Citroen,DS3,23.35964286,81.28571429,31655,5.25,1231
1298.666667,15260,petrol,13701,Renault,Modus,17.82333333,70.33333333,30708,4.666666667,1747
1729.3333329999998,9964,petrol,19477,MG,ZR,21.02333333,92.33333333,30705,5.0,1264
2719.842105,9318,diesel,19359,Chrysler,Voyager,39.70773684,117.57894740000002,30389,4.8421052630000005,1712
2048.666667,7821,petrol,20969,Kia,Sorento,36.01325,151.66666669999998,29697,6.0,907
2778.0,8462,petrol,19343,BMW,Z4,64.109625,202.125,29553,6.75,1748
1994.0,10492,petrol,17725,Rover,2000,17.182000000000002,74.0,29537,5.0,1320
999.0,17894,petrol,10220,Volkswagen,Up,17.065625,51.375,29196,5.125,1082
1372.666667,12767,petrol,14101,Suzuki,Jimny,25.94322222,67.0,28841,4.777777778,1973
850.2727273,17374,petrol,9404,Chevrolet,Matiz,9.492272727000001,40.81818182,28470,4.909090909,1692
3071.0,6312,petrol,20033,Porsche,Boxster,83.50125,213.5,27942,6.5,1597
1090.4,12804,petrol,12629,Suzuki,Wagon,9.8628,50.0,27324,5.0,1891
1352.576923,8974,petrol,17213,Peugeot,3008,40.98307692,114.2692308,27258,7.307692307999999,1071
1683.607843,9404,petrol,15999,Mazda,323,17.34364706,70.92156863,26969,4.745098039,1566
935.625,14037,petrol,11079,Ford,Puma,30.3775,94.0625,26865,6.3125,1749
1837.363636,8974,petrol,15843,Fiat,Stilo,22.77681818,92.36363636,26157,5.272727273,1340
1750.615385,6728,petrol,17313,Volkswagen,Scirocco,33.70615385,120.1538462,25113,6.153846154,1072
5000.0,3013,petrol,20604,Jaguar,XK,145.6466667,283.0,24771,6.0,1154
1774.7789469999998,9495,diesel,14157,Seat,Altea,27.13,96.05263158,24651,5.768421053,999
2093.0217390000003,9639,petrol,13551,Volvo,C30,32.489891300000004,113.28260870000001,24611,5.304347826,1421
1479.0,8849,petrol,13520,Hyundai,Accent,14.293,75.4,23665,4.6,1296
1373.75,12512,petrol,8828,Volkswagen,Lupo,13.88308333,47.75,22660,4.75,1320
2222.7105260000003,2239,diesel,18660,Mercedes,Sprinter,43.06842105,104.20175440000001,22529,6.254385965,1630
1926.0,7991,diesel,13708,Hyundai,Ix35,38.9,113.84,22359,5.84,660
1391.023256,7486,diesel,13273,Renault,Kangoo,18.76848837,67.02325581,22091,4.860465116,1332
1622.681818,8561,petrol,12385,Mazda,5,22.12540909,75.09090909,22045,5.5,1099
1587.222222,4610,petrol,16259,Volkswagen,Jetta,31.30566667,96.92592593,21858,6.259259258999999,989
1746.9444440000002,5610,petrol,14659,Seat,Alhambra,49.82277778,115.83333329999999,21553,6.0,1284
1798.0,5657,petrol,14370,Renault,Espace,59.0,166.0,21272,7.0,1245
1197.0,10103,petrol,9623,Suzuki,Ignis,19.45142857,61.0,21225,3.571428571,1499
1586.0,9035,petrol,10925,Suzuki,SX4,20.6695,88.0,21177,4.75,1217
1755.75,6193,petrol,13424,Kia,Carens,31.195,105.875,20483,6.0,866
2048.538462,6588,diesel,12761,Audi,Q5,64.50769231,144.23076919999997,20393,6.846153846,1044
1596.92,2550,petrol,16634,Mercedes,CLA,46.5274,131.6,20253,7.04,1069
1534.392857,5531,diesel,13570,Peugeot,Partner,20.36464286,82.25,20090,5.857142857,989
1452.3,5800,petrol,13365,Skoda,Yeti,30.351,83.5,20048,6.3,883
2967.0,4973,diesel,14059,Volkswagen,Touareg,94.098125,190.0,19938,8.0,906
1108.0,10570,petrol,7901,Fiat,Seicento,8.17,40.0,19546,5.0,1075
1592.0,2367,petrol,16399,Skoda,Superb,39.725,110.0,19529,6.8,763
1466.307692,7015,petrol,11663,Fiat,Bravo,22.455,92.30769231,19515,6.0,837
1863.1333329999998,7442,diesel,10717,BMW,X1,51.44133333,123.93333329999999,19427,7.2,1268
2976.333333,4579,diesel,13244,Audi,Q7,106.5488889,210.0,18804,8.0,981
1802.774194,5743,petrol,11552,Alfa-Romeo,147,25.3433871,95.09677419,18359,5.193548387,1064
1794.0,5595,petrol,11658,Toyota,MR2,34.19,103.0,18178,6.0,925
2998.0,1519,petrol,15286,BMW,740i,115.53299999999999,250.0,17860,8.0,1055
1754.4,6485,petrol,10315,MG,TF,32.09,98.2,17730,4.0,930
1986.766667,2261,diesel,14400,Volvo,S80,50.94,138.2833333,17624,6.266666667000001,963
1336.666667,10468,petrol,6154,Volkswagen,Fox,12.49833333,48.66666667,17617,5.0,995
958.6,10447,petrol,6015,Renault,Twingo,14.94,59.6,17134,5.2,672
1709.5384620000002,3703,petrol,12773,Mitsubishi,Lancer,23.01661538,90.88461538,17083,4.730769231,607
1523.741935,4440,diesel,11730,Fiat,Doblo,25.17006452,79.30645161,17070,5.516129032,900
1740.0,9047,petrol,6660,Volkswagen,Eos,42.2862,113.8,17059,6.0,1352
3999.0,1383,petrol,14930,BMW,M3,135.1055,309.0,16974,6.5,661
2238.631579,6366,petrol,9477,Chrysler,PT,29.88478947,109.1052632,16872,4.736842105,1029
1599.0,6321,petrol,9531,Hyundai,Matrix,18.512999999999998,76.0,16641,4.6,789
1152.888889,8634,petrol,6539,Toyota,IQ,17.31777778,58.44444444,16461,3.666666667,1288
6208.0,3121,petrol,12431,Mercedes,SLS,264.675,420.0,16431,7.0,879
1406.0,7685,petrol,7516,Audi,A2,23.0525,55.0,16412,5.0,1211
2234.4,5143,petrol,9579,BMW,Z3,39.7374,115.0,15691,4.6,969
2323.9375,4642,petrol,10078,Volvo,C70,52.19640625,126.5,15613,5.3125,893
1272.4375,5670,petrol,9000,Skoda,Roomster,20.9225,68.875,15469,5.375,799
1144.8,7977,petrol,6376,Suzuki,Splash,13.1466,55.4,15258,4.8,905
2239.666667,3863,petrol,10252,Toyota,Previa,43.08,105.0,15233,4.666666667,1118
1308.285714,7546,petrol,6266,Toyota,Starlet,11.389000000000001,53.0,14623,4.1428571430000005,811
1330.4,6839,petrol,6945,Chevrolet,Aveo,18.615,69.6,14512,5.2,728
2174.037037,3053,diesel,10247,Volvo,XC70,58.46907407,148.5185185,14267,6.444444444,967
1624.769231,4687,petrol,9004,Hyundai,Tucson,41.59161538,111.3076923,14262,6.461538462,571
2084.3793100000003,2989,petrol,10398,Subaru,Legacy,37.52210345,107.37931029999999,14210,3.8965517239999996,823
3295.0,3418,petrol,10034,Porsche,Cayenne,158.976,326.0,14183,8.0,731
2081.375,2428,petrol,10882,Alfa-Romeo,156,32.898125,116.29166670000001,13956,5.333333333,646
2979.0,1708,petrol,11265,BMW,640i,114.87583329999998,235.0,13667,8.0,694
1047.75,7685,petrol,5142,Chevrolet,Spark,11.395,52.5,13571,5.0,744
1353.363636,6758,petrol,6012,Chevrolet,Kalos,14.22409091,64.45454545,13539,4.727272727,769
2085.055556,3970,petrol,8910,Mitsubishi,Outlander,37.44666667,120.33333329999999,13500,2.611111111,620
996.0,8094,petrol,4700,Nissan,Pixo,9.465666667,50.0,13409,4.666666667,615
1914.714286,5292,petrol,7167,Honda,FR-V,33.12857143,103.0,13241,5.285714286,782
1183.25,7106,petrol,5141,Daihatsu,Sirion,14.333375,59.875,12986,4.5625,739
868.3333332999998,4739,petrol,7690,Rover,Mini,7.92,33.33333333,12979,4.0,550
1509.75,5303,petrol,7343,Kia,Venga,23.58666667,81.16666667,12936,5.25,290
1597.0,9672,petrol,2304,Ford,Streetka,26.0,70.0,12875,5.0,899
1518.0,4375,petrol,7729,Skoda,Felicia,11.370625,48.0,12744,5.0,640
2697.368421,3027,diesel,9143,Nissan,Terrano,37.01736842,97.57894737,10739,4.736842105,569
1817.315789,4690,petrol,7314,Mitsubishi,Space,23.16515789,82.15789474,11720,3.947368421,716
1773.7,3084,petrol,9003,Mitsubishi,Carisma,22.69,82.2,12717,4.8,630
1612.9285710000001,3942,petrol,8102,Chevrolet,Lacetti,18.76285714,80.42857143,12710,4.714285714,666
2548.833333,1541,petrol,10660, MG ,ZT,42.74666667,128.5,12606,5.0,405
2313.666667,5405,petrol,6065,Mercedes,CLC,42.5595,131.6666667,12207,6.166666667,737
2304.97561,2167,diesel,9293,Land-Rover,Defender,108.74719509999998,207.6097561,11128,7.853658537,668
1384.0,6549,petrol,4800,Seat,Arosa,13.70454545,47.45454545,11922,4.818181818,573
1498.0,4377,petrol,6436,Honda,HR-V,32.723,96.0,11528,3.6,715
679.0,5197,petrol,4946,Smart,City-coupe,13.2053,35.8,10805,6.0,662
1495.0,5230,petrol,4903, Daihatsu ,Terios,26.19775,77.0,10774,4.625,641
1791.2307690000002,2453,petrol,7738,Toyota,Carina,17.44569231,68.26923077,10750,4.692307692,579
1753.0,3615,petrol,6043,Fiat,Multipla,25.2075,80.5,10294,5.0,636
2981.0,749,petrol,8781,Audi,A8 ,116.545,230.0,10075,8.0,545
999.0,4960,petrol,3867,Skoda, Citigo,12.6825,45.0,9231,5.0,404
1523.333333,3467,petrol,5205,Suzuki,Liana ,18.88233333,74.0,9215,4.666666667,543
5577.8,1024,petrol,7602,Bentley,Continental,285.247,428.2,9032,7.2,406
2460.75,2875,petrol,5701,Chevrolet,Captiva,55.62,145.75,9001,6.0,425
2588.6,2239,diesel,6393, Nissan,Pathfinder,60.9552,146.0,8957,5.5,325
1430.75,2841,petrol,5690,Peugeot,205,13.11525,50.875,8943,4.75,412
2208.090909,2050,petrol,6096,Saab,900,37.00904545,114.68181820000001,8754,4.590909091,608
1288.5,3496,petrol,5001,Ford,B-MAX,22.91875,75.5,8684,5.25,187
2316.0,1547,petrol,6659,Volvo,940,30.236875,110.0,8669,4.5,463
1324.357143,2009,petrol,6234,Seat,Toledo,20.37,74.21428571,8614,5.642857143,371
1552.0,3351,petrol,5033,Hyundai,Ix20,27.4066,89.0,8607,6.0,223
2294.764706,1438,petrol,6702,Volvo,850,36.38445588,125.70588240000001,8567,4.5,427
1329.0,2986,petrol,4955,Toyota ,Verso-S,22.046999999999997,73.0,8512,3.6,571
1984.0,1345,petrol,6675,Audi,S3,60.87,228.0,8342,6.75,322
2276.0,1024,diesel,6851,Alfa-Romeo,159,43.26150943,135.37735849999999,8258,5.905660377,383
1506.5,3305,petrol,4259,Daewoo,Lanos,13.24516667,66.66666667,8036,4.833333333,472
2027.8333329999998,2619,petrol,4896,Citroen,C8,45.59125,104.16666670000001,7935,5.25,420
1950.90625,1753,petrol,5710,Mazda,626,20.7195,81.375,7893,4.71875,430
898.0,3269,petrol,4395,Dacia,Sandero,14.04,66.0,7873,5.0,209
2053.0,2435,diesel,4829,Peugeot,807,45.76307692,109.07692309999999,7697,5.307692308,433
1294.142857,2622,petrol,4563,Peugeot,5008,42.50666667,99.52380952,7580,7.142857143,395
3071.0,1082,petrol,5864,Porsche,Cayman,84.60125,220.5,7308,6.5,362
4123.5,767,petrol,6232,Chrysler,300C,70.31925,199.0,7248,4.5,249
2972.3076920000003,1175,petrol,5685,Mercedes,300,62.39565385,135.5,7245,4.384615385,385
1332.0,2180,petrol,4708,Dacia,Duster,20.75666667,89.33333333,7083,5.666666667,195
1407.333333,3340,petrol,3061,Peugeot,1007,18.657,59.58333333,6818,5.0,417
1642.04878,919,diesel,5657,Peugeot,508,46.85390244,125.04878049999999,6807,7.707317073,231
1982.756098,1192,petrol,5246,Citroen,Xantia,24.84390244,84.92682927,6784,4.756097561,346
1642.333333,3135,petrol,3218,Peugeot,RCZ,38.93888889,135.5555556,6705,6.0,352
3498.0,800,petrol,5649,Nissan,350Z,55.4225,221.0,6667,6.0,218
1428.4,2953,petrol,3090,Mazda,Demio,14.7754,51.4,6440,4.8,397
1997.0,1201,petrol,4891,Honda,S2000,55.25,177.0,6373,6.0,281
2284.1333329999998,1082,petrol,4841,Mercedes,190,36.64326667,88.73333333,6271,4.466666667,348
2117.6,1926,petrol,3984,Hyundai,Trajet,30.351999999999997,99.0,6220,4.4,310
1775.7777780000001,2138,petrol,3634,Chevrolet,Tacuma,20.20388889,82.33333333,6162,4.777777778,390
1972.8125,989,petrol,4892,Alfa-Romeo,GT,37.350625,121.0625,6156,5.375,275
1938.0,1990,petrol,3819,Mazda,Premacy,23.22409091,82.0,6149,4.909090909,340
1703.1538460000002,1837,petrol,3972,Citroen,ZX,16.05676923,67.0,6109,4.923076923,300
1969.0,1290,diesel,4321,Volvo,V60,50.48413043,150.6086957,5990,7.304347826,379
1615.333333,2067,petrol,3555,Fiat,Brava,17.22277778,70.0,5986,4.8888888889999995,364
3764.333333,692,petrol,4985,Audi,S4,95.29916667,253.66666669999998,5891,6.333333333,214
3344.75,1148,petrol,4371,BMW,X6,125.49625,282.25,5813,8.0,294
1911.75,1839,petrol,3537,Dodge,Caliber,26.59125,108.625,5647,4.125,271
2526.5,1123,petrol,4054,Ford,Maverick,29.151,89.0,5423,5.0,246
1695.0,2110,petrol,3028,Rover,Streetwise,20.74,75.0,5420,5.0,282
1405.0,2603,petrol,2351,Rover,CityRover,11.74,63.0,5352,5.0,398
1742.6,1779,petrol,3240,Kia,Cerato,19.895,94.0,5257,4.8,238
1730.0,462,petrol,4463,Lotus,Elise,53.792,134.33333330000002,5139,6.0,214
2362.0,933,petrol,3669,Ford,Cougar,32.11766667,115.33333329999999,4826,4.666666667,224
698.0,1462,petrol,3014,Smart,Roadster-coupe,24.35,60.0,4793,6.0,317
5341.0,359,petrol,4192,Aston-Martin,Vantage,360.755,410.0,4742,6.0,191
1647.4,742,diesel,3793,Hyundai,I40,35.535,93.6,4674,6.0,139
1706.3333329999998,1045,petrol,3389,Chevrolet,Cruze,28.17,103.0,4635,5.583333333,201
1925.25,659,petrol,3722,Seat,Exeo,33.8615625,116.25,4528,5.375,147
1329.0,2036,petrol,2025,Toyota,Urban,20.21333333,74.0,4357,6.0,296
999.0,2445,petrol,1693,Seat,Mii,11.917,49.13333333,4327,5.0,189
2967.0,401,diesel,3715,Audi,A7,87.12,190.0,4278,8.0,162
1773.0,747,petrol,3321,Peugeot,405,20.43008333,69.875,4216,4.791666667,148
1039.5,1697,petrol,2305,Abarth,500C,21.105625,60.625,4182,5.0,180
1968.0,867,diesel,3063,Volkswagen,Transporter,35.37645833,103.08333329999999,4174,6.0,244
2696.5,1027,petrol,2897,Alfa-Romeo,Spider,55.2,163.5,4173,6.0,249
1688.25,1292,petrol,2709,Citroen,DS4,31.1275,105.25,4162,5.75,161
1998.0,1134,petrol,2672,Toyota,Picnic,25.29875,94.0,4107,4.5,301
2309.340426,722,diesel,3085,Mercedes,Viano,57.22905851,120.42553190000001,4067,5.234042553,260
2019.75,1092,petrol,2732,Fiat,Ulysse,36.70125,91.75,4044,4.875,220
1836.5,405,petrol,3439,Ford,Sierra,18.2955625,70.25,3934,4.875,90
5935.0,305,petrol,3354,Aston-Martin,DB9,273.755,381.0,3819,6.0,160
2247.333333,670,petrol,2934,Audi,80,27.09825,91.75,3785,4.666666667,181
1995.0,1184,petrol,2363,Chrysler,Neon,19.71783333,98.0,3772,4.0,225
3100.333333,805,diesel,2805,Hyundai,Terracan,44.62833333,127.66666670000001,3711,4.333333333,101
4395.0,201,petrol,3327,BMW,M550i,134.789,390.0,3667,8.0,139
2126.8,663,petrol,2855,Kia,Magentis,28.803,111.2,3662,4.8,144
1242.0,1492,petrol,1935,Citroen,AX,10.83275,45.0,3591,5.0,164
3740.0,278,petrol,3101,Audi,RS4,121.77,316.3333333,3495,6.666666667,116
1235.4285710000001,1574,petrol,1837,Renault,Captur,27.94142857,93.35714286,3476,6.214285714,65
2378.0,1035,petrol,2194,Mitsubishi,Grandis,30.839000000000002,121.0,3453,4.6,224
3199.0,1076,petrol,2209,Chrysler,Crossfire,56.15916667,174.33333330000002,3447,5.5,162
1497.0,1241,petrol,1979,Honda,CR-Z,27.12333333,101.0,3429,6.0,209
3377.4444439999997,857,petrol,2317,Mercedes,R,88.77777778,190.0,3425,7.0,251
